"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000219596 (pp) 9606.ENSP00000300589","false","pp","9606.ENSP00000219596 (pp) 9606.ENSP00000300589","0.096",,,"0.067",,,,"0.749","0.727"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000303634","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000303634",,,"0.4","0.58",,,,"0.999","0.997"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000260408","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000260408",,,,,,,,"0.733","0.733"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000500990","0.06",,"0.5","0.785",,,,"0.996","0.967"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000264896","0.102",,,,,,,"0.797","0.784"
"pp","9606.ENSP00000252486 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000252486 (pp) 9606.ENSP00000340820","0.044",,,"0.701",,,,"0.991","0.973"
"pp","9606.ENSP00000314499 (pp) 9606.ENSP00000356107","false","pp","9606.ENSP00000314499 (pp) 9606.ENSP00000356107","0.049",,,"0.334",,,,"0.979","0.971"
"pp","9606.ENSP00000314499 (pp) 9606.ENSP00000386456","false","pp","9606.ENSP00000314499 (pp) 9606.ENSP00000386456","0.102",,,"0.369",,,,"0.785","0.652"
"pp","9606.ENSP00000295688 (pp) 9606.ENSP00000358081","false","pp","9606.ENSP00000295688 (pp) 9606.ENSP00000358081","0.113",,"0.72","0.058",,,,"0.764","0.112"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000236192","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000236192",,,"0.9","0.46",,,,"0.969","0.488"
"pp","9606.ENSP00000215095 (pp) 9606.ENSP00000479261","false","pp","9606.ENSP00000215095 (pp) 9606.ENSP00000479261","0.052",,,"0.346",,,,"0.862","0.796"
"pp","9606.ENSP00000334657 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000334657 (pp) 9606.ENSP00000484824","0.049",,,"0.05",,,,"0.821","0.818"
"pp","9606.ENSP00000321805 (pp) 9606.ENSP00000357305","false","pp","9606.ENSP00000321805 (pp) 9606.ENSP00000357305",,"0.057","0.5","0.788",,,,"0.893","0.063"
"pp","9606.ENSP00000441929 (pp) 9606.ENSP00000484824","false","pp","9606.ENSP00000441929 (pp) 9606.ENSP00000484824","0.064",,"0.5","0.098",,,,"0.937","0.869"
"pp","9606.ENSP00000441929 (pp) 9606.ENSP00000495398","false","pp","9606.ENSP00000441929 (pp) 9606.ENSP00000495398","0.055",,"0.5","0.132",,,,"0.895","0.776"
