"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000260408 (pp) 9606.ENSP00000340820","false","pp","9606.ENSP00000260408 (pp) 9606.ENSP00000340820",,,,,,,,"0.486","0.486"
"pp","9606.ENSP00000259008 (pp) 9606.ENSP00000353793","false","pp","9606.ENSP00000259008 (pp) 9606.ENSP00000353793","0.445",,,"0.146",,,,"0.717","0.452"
"pp","9606.ENSP00000260408 (pp) 9606.ENSP00000478298","false","pp","9606.ENSP00000260408 (pp) 9606.ENSP00000478298","0.074",,,,,,,"0.47","0.452"
"pp","9606.ENSP00000260408 (pp) 9606.ENSP00000345672","false","pp","9606.ENSP00000260408 (pp) 9606.ENSP00000345672","0.047",,,"0.053",,,,"0.612","0.605"
"pp","9606.ENSP00000253083 (pp) 9606.ENSP00000273814","false","pp","9606.ENSP00000253083 (pp) 9606.ENSP00000273814","0.098",,,,,,,"0.41","0.373"
"pp","9606.ENSP00000260408 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000260408 (pp) 9606.ENSP00000313419",,,,,,,,"0.461","0.461"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000262519","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000262519",,,"0.5",,,,,"0.519","0.079"
"pp","9606.ENSP00000261667 (pp) 9606.ENSP00000343701","false","pp","9606.ENSP00000261667 (pp) 9606.ENSP00000343701","0.386","0.07","0.9","0.091",,,,"0.946","0.134"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000264896",,,,,,,,"0.717","0.718"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000313419","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000313419","0.068",,,,,,,"0.621","0.611"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000378431","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000378431","0.159",,,,,,,"0.554","0.492"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000367316","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000367316",,"0.06","0.54",,,,,"0.56","0.065"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000369702","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000369702","0.051",,"0.4",,,,,"0.406",
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000351497","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000351497","0.091",,,,,,,"0.41","0.378"
"pp","9606.ENSP00000262407 (pp) 9606.ENSP00000318355","false","pp","9606.ENSP00000262407 (pp) 9606.ENSP00000318355","0.442",,,,,,,"0.442",
"pp","9606.ENSP00000262519 (pp) 9606.ENSP00000461879","false","pp","9606.ENSP00000262519 (pp) 9606.ENSP00000461879","0.162",,,"0.48",,,,"0.868","0.723"
"pp","9606.ENSP00000262519 (pp) 9606.ENSP00000387393","false","pp","9606.ENSP00000262519 (pp) 9606.ENSP00000387393","0.065",,,"0.326",,,,"0.621","0.448"
"pp","9606.ENSP00000263967 (pp) 9606.ENSP00000343658","false","pp","9606.ENSP00000263967 (pp) 9606.ENSP00000343658","0.092",,,,,,,"0.442","0.411"
